0.0 ; -16.0
0.0 ; -13.7
3.0 ; -16.5
5.0 ; -16.7
7.0 ; -17.0
9.0 ; -17.2
11.0 ; -17.5
13.0 ; -17.6
15.0 ; -17.7
17.0 ; -17.9
19.0 ; -18.0
21.0 ; -18.0
23.0 ; -18.2
25.0 ; -18.4
27.0 ; -18.5
29.0 ; -18.7
31.0 ; -18.9
33.0 ; -19.2
35.0 ; -19.3
37.0 ; -19.6
39.0 ; -19.7
41.0 ; -20.0
43.0 ; -20.2
45.0 ; -20.4
47.0 ; -20.7
49.0 ; -20.7
51.0 ; -21.0
53.0 ; -21.2
55.0 ; -21.4
57.0 ; -21.5
59.0 ; -21.7
61.0 ; -21.8
63.0 ; -21.8
65.0 ; -21.8
67.0 ; -21.7
69.0 ; -21.6
71.0 ; -21.4
73.0 ; -21.1
75.0 ; -20.8
77.0 ; -20.5
79.0 ; -20.2
81.0 ; -19.8
83.0 ; -19.5
85.0 ; -19.2
87.0 ; -18.8
89.0 ; -18.6
92.0 ; -18.1
94.0 ; -18.0
96.0 ; -17.9
98.0 ; -17.9
100.0 ; -17.8
102.0 ; -17.8
104.0 ; -17.9
106.0 ; -17.9
108.0 ; -18.0
110.0 ; -18.1
112.0 ; -18.4
114.0 ; -18.6
116.0 ; -18.8
118.0 ; -19.1
120.0 ; -19.6
122.0 ; -20.1
124.0 ; -20.6
126.0 ; -21.0
128.0 ; -21.4
130.0 ; -21.5
134.0 ; -21.6
136.0 ; -21.6
138.0 ; -21.4
140.0 ; -21.0
142.0 ; -20.8
144.0 ; -20.6
147.0 ; -21.0
149.0 ; -21.1
151.0 ; -21.4
153.0 ; -22.0
155.0 ; -22.5
157.0 ; -23.4
159.0 ; -24.4
161.0 ; -25.5
163.0 ; -26.7
165.0 ; -27.3
167.0 ; -27.1
169.0 ; -26.4
171.0 ; -24.8
173.0 ; -23.6
175.0 ; -22.3
177.0 ; -21.3
179.0 ; -20.3
181.0 ; -19.4
183.0 ; -18.7
185.0 ; -18.0
187.0 ; -17.4
189.0 ; -16.9
191.0 ; -16.6
193.0 ; -16.3
195.0 ; -16.1
197.0 ; -15.9
199.0 ; -15.9
201.0 ; -15.9
203.0 ; -16.0
205.0 ; -16.3
207.0 ; -16.6
209.0 ; -17.1
211.0 ; -17.7
213.0 ; -18.5
215.0 ; -19.4
217.0 ; -20.5
219.0 ; -21.9
221.0 ; -23.6
223.0 ; -25.6
225.0 ; -28.2
227.0 ; -31.4
229.0 ; -34.9
231.0 ; -33.7
233.0 ; -31.1
235.0 ; -29.2
237.0 ; -27.9
239.0 ; -26.7
241.0 ; -25.7
243.0 ; -25.0
245.0 ; -24.2
247.0 ; -23.4
249.0 ; -22.5
251.0 ; -22.0
253.0 ; -21.4
255.0 ; -21.0
257.0 ; -20.7
259.0 ; -20.5
262.0 ; -20.4
264.0 ; -20.4
266.0 ; -20.5
268.0 ; -20.5
270.0 ; -20.5
272.0 ; -20.3
274.0 ; -20.1
276.0 ; -19.8
278.0 ; -19.6
280.0 ; -19.2
282.0 ; -19.0
284.0 ; -18.9
286.0 ; -18.7
288.0 ; -18.6
290.0 ; -18.7
292.0 ; -18.7
294.0 ; -18.8
296.0 ; -18.9
298.0 ; -19.2
300.0 ; -19.4
302.0 ; -19.6
304.0 ; -19.8
306.0 ; -20.0
308.0 ; -20.2
310.0 ; -20.1
312.0 ; -19.9
315.0 ; -19.4
317.0 ; -18.9
319.0 ; -18.3
321.0 ; -17.7
323.0 ; -17.2
325.0 ; -16.6
327.0 ; -16.1
329.0 ; -15.6
331.0 ; -15.2
333.0 ; -14.8
335.0 ; -14.4
337.0 ; -14.2
339.0 ; -14.0
341.0 ; -13.8
343.0 ; -13.6
345.0 ; -13.5
347.0 ; -13.4
349.0 ; -13.4
351.0 ; -13.4
353.0 ; -13.5
355.0 ; -13.5
357.0 ; -13.6
359.0 ; -13.7
