0.000000,592
0.005417,432
0.005583,432
0.009563,2008
0.009756,432
0.105036,1528
0.105113,592
0.108104,432
0.108178,432
0.108201,840
0.108254,432
0.108279,432
0.115698,3328
0.115877,432
0.166299,1592
0.166604,432
0.217293,15904
0.267495,432
0.267602,1440
0.267758,432
0.267983,432
0.319383,840
0.369712,1544
0.370117,432
0.370397,1512
0.421148,768
0.421295,432
0.458125,432
4.495703,592
4.498919,432
4.499044,432
4.500311,1976
4.500419,432
4.907274,10736
4.957439,432
4.957620,13976
5.007770,432
5.007828,1440
5.007918,432
5.228387,840
5.279160,4720
5.279877,432
5.280144,1920
5.280596,432
5.787315,1680
5.837508,432
7.000904,592
7.009602,432
7.009796,592
7.015806,432
7.015975,432
7.016054,1960
7.016267,432
7.016393,432
7.016453,2008
7.016631,432
7.061416,592
7.065800,432
7.066080,432
7.066149,1992
7.066372,432
7.143843,22640
7.194677,432
7.195870,29872
7.196636,3432
7.196804,432
7.196944,432
7.218199,1440
7.218770,432
7.269766,1176
7.270368,432
7.270865,1848
7.271266,432
7.271608,2624
7.310712,432
7.315384,3256
7.366197,432
7.367149,736
7.367399,736
7.367860,432
7.419138,592
7.428223,432
7.428400,432
7.428467,432
7.430969,4568
7.431338,432
7.457931,30816
7.508602,432
7.508751,1440
7.508978,432
7.509091,592
7.513688,432
7.514154,432
7.543700,1608
7.594049,432
7.594212,840
7.594543,432
7.594615,4048
7.594746,432
7.595118,3544
7.595412,432
7.646269,6736
7.696486,432
7.698454,840
7.748680,432
7.748989,2624
7.752655,4048
7.752979,432
7.753427,432
7.804471,6736
7.804604,592
7.813956,432
7.814089,592
7.820533,432
7.820686,432
7.820774,432
7.820827,432
7.820863,1944
7.821053,432
7.821158,432
7.887332,48136
7.937742,432
7.937858,1440
7.937965,432
7.988358,2368
8.038567,432
8.347864,432
9.101385,592
9.105774,432
9.105956,592
9.113306,432
9.113515,432
9.113594,432
9.114010,1936
9.114220,432
9.184064,51536
9.234786,432
9.234947,1176
9.235221,432
9.235355,1848
9.235575,432
9.235932,2376
9.236245,432
9.287111,4912
9.337435,736
9.337911,432
9.338064,592
9.345928,432
9.346540,432
9.346846,1968
9.347142,432
9.416030,51536
9.466526,432
9.466650,1176
9.466842,432
9.466883,1848
9.466960,432
9.467172,2728
9.467268,432
9.517646,3024
9.567940,736
9.568329,432
9.569368,133456
9.620135,432
9.620942,151408
9.672681,432
9.679437,592
9.684963,432
9.685167,592
9.689488,432
9.689684,592
9.698596,432
9.698810,592
9.703065,432
9.703206,432
9.703245,592
9.707448,432
9.707594,592
9.719036,432
9.719188,2016
