20.5,-0.5,29.5,299.5,-1,0
50.5,-0.5,59.5,299.5,1,0
80.5,-0.5,89.5,299.5,-1,0
110.5,-0.5,119.5,299.5,1,0
140.5,-0.5,149.5,299.5,-1,0
170.5,-0.5,179.5,299.5,1,0
200.5,-0.5,209.5,299.5,-1,0
230.5,-0.5,239.5,299.5,1,0
260.5,-0.5,269.5,299.5,-1,0
290.5,-0.5,299.5,299.5,1,0
-0.5,20.5,299.5,29.5,0,-1
-0.5,50.5,299.5,59.5,0,1
-0.5,80.5,299.5,89.5,0,-1
-0.5,110.5,299.5,119.5,0,1
-0.5,140.5,299.5,149.5,0,-1
-0.5,170.5,299.5,179.5,0,1
-0.5,200.5,299.5,209.5,0,-1
-0.5,230.5,299.5,239.5,0,1
-0.5,260.5,299.5,269.5,0,-1
-0.5,290.5,299.5,299.5,0,1
